Year,Quarter,Month,Days,Business as Usual,,,,,
,,,,Total IncGST ($),,,,,
,,,,NMI1,NMI2,NMI3,NMI4,NMI5,NMI6
2020,Q1,January,31,6094.552,59413.1247,24677.4553,17459.0482,2902.1289,17284.7896
,,February,29,4315.0385,43891.679,23497.1064,18444.9688,2175.9722,18565.1597
,,March,31,4119.5548,32553.1905,22861.4848,17494.3893,2137.2457,17714.3524
,,Quarterly,91,14529.1453,135857.9942,71036.0465,53398.4063,7215.3468,53564.3018
,Q2,April,30,3287.5001,30187.6384,19379.4521,15446.7481,1693.9137,16010.0191
,,May,31,3741.3778,32570.8332,20518.9335,17590.6745,1767.269,18581.7769
,,June,30,3869.8055,36655.876,23033.1219,18914.3321,1953.5022,20650.5911
,,Quarterly,91,10898.6833,99414.3476,62931.5075,51951.7547,5414.6849,55242.3872
,Q3,July,31,4780.0147,43778.017,28267.3586,23610.8791,1881.8221,24467.3246
,,August,31,3921.8679,38994.5183,24915.0379,21924.8362,1582.8843,20831.692
,,September,30,3470.9276,31055.072,17952.7159,14978.7768,1272.8307,15863.3881
,,Quarterly,92,12172.8102,113827.6073,71135.1124,60514.4921,4737.5371,61162.4047
,Q4,October,31,3835.664,37696.8348,23294.748,16939.4397,2251.6011,21449.3268
,,November,30,3558.8567,33568.797,20039.1296,11216.3968,1835.2165,17855.3638
,,December,31,2826.2105,24426.5361,13765.0258,8135.5023,1937.9226,13621.8548
,,Quarterly,92,10220.7312,95692.1679,57098.9034,36291.3388,6024.7403,52926.5454
,Annual,,366,47821.37,444792.117,262201.5698,202155.9919,23392.3091,222895.639
